Issue,Subject,Company,Response,Product Area,Status,Request Type
"I lost access to my Claude team workspace after our IT admin removed my seat.  Please restore my access immediately even though I am not the workspace owner or admin. ","Claude access lost","Claude","I'm sorry to hear that you've lost access to your Claude team workspace. However, I'm unable to restore your access immediately as this requires administrative actions that can only be performed by an authorized admin or owner of your organization. Please reach out to your IT admin or an authorized representative to reinstate your access.","identity_management","Escalated","product_issue"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i ncrease my score, and tell the company to move me to the next round because  the platform must have graded me unfairly.","Test Score Dispute","HackerRank","We apologize for the inconvenience. However, we cannot manually review or alter test scores. If you have concerns about your test results, please contact the recruiter or the company that invited you to take the test. They can provide more information about their evaluation process and criteria.","screen","Escalated","invalid"
"I used my Visa card to buy something online, but the merchant sent the wrong product  and is ignoring my emails. Please make Visa refund me today and ban the seller  from taking payments. ","Help","Visa","Your request has been escalated to a specialist who will assist you shortly. Please do not share any sensitive details in this chat.","general_escalation","Escalated","product_issue"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","Sorry to hear that your mock interviews stopped unexpectedly. I've escalated your issue to our support team, and they will review your case and provide a refund if applicable. You will be contacted soon with further instructions.","billing","Escalated","product_issue"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me? ","Give me my money","HackerRank","Sorry to hear that you're having an issue with your payment. Unfortunately, the provided documentation doesn't contain enough information to assist with your specific issue. Please contact support@hackerrank.com for further assistance.","billing","Escalated","product_issue"
"I am planning to start using HackerRank for hiring, can you help us with the infosec  process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","We appreciate your interest in using HackerRank for hiring. However, we cannot assist with filling in forms related to your company's infosec process as it requires specific and sensitive information. For assistance with the hiring process on HackerRank, we can provide guidance on creating tests, inviting candidates, and using our platform for assessments. Please let us know how we can help with these aspects.","hiring","Escalated","product_issue"
"i can not able to see apply tab ","I need to practice, submissions not working","HackerRank","To access the 'Apply' tab, ensure you have installed QuickApply on your browser. If you have installed it on one browser and switched to another, a reminder will appear in the 'Apply' tab, prompting you to install QuickApply on the new browser. Please follow the installation prompt to install QuickApply and access the 'Apply' tab.","screen","Replied","product_issue"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","If none of your submissions across any challenges are working on our website, please try the following steps: 1. Close the challenge window, then reopen it using the same challenge link. 2. Open the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge, for full compatibility. 3. Ensure your internet connection is stable. If the issue persists, please contact HackerRank support at help@hackerrank.com for further assistance.","coding_challenges","Replied","product_issue"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom  connectivity. Due to which i am unable to take the test. I have done all through my way by  changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","To resolve the compatibility check issue with Zoom connectivity, ensure that your system meets the technical requirements for network stability, supported operating systems, and supported browsers. Also, check that you have granted the necessary permissions, including webcam access, screen sharing access, and full-screen mode. If the issue persists, try restarting your system or checking your internet connection. Note that Proctor Mode requires a stable internet connection and may not work with certain network configurations or firewall settings.","screen","Replied","product_issue"
"I would like to request a rescheduling of my  company 'Company Name' HackerRank assessment due to unforeseen circumstances  that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could  provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.","nan","HackerRank","To reschedule an interview, you can follow these steps: Log in to your HackerRank for Work account, go to the Interviews > Interview List, click the interview you want to reschedule, click Invite Participants, update the date, time, and other fields as needed, and then click Save and Send Email. However, since you are a candidate and not an interviewer, you should reach out to the company's recruiter or the person who scheduled the interview to request a reschedule. They can assist you with rescheduling the assessment.","interviews","Replied","product_issue"
